@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
573033.5,8088.2121,1796,790,924,1025490.0,85,79,1025347.8217,PinzasMecanico
943007.5,4363.0036,1387,1183,698,1696676.5,84,77,991095.312,Espatula
336223.0,4718.7854,1380,1014,814,488167.0,49,44,451206.9403,Cutter
457914.5,7541.4771,2118,862,1108,682829.5,59,53,812928.1207,Desarmador
291733.5,3971.166,1470,685,772,417801.125,52,47,387406.5,Cutter
1056420.5,8411.0102,1787,1704,1042,2072971.75,103,95,2460642.5996,Martillo
545517.0,8134.4994,1915,666,967,899614.75,73,68,1272810.0,PinzasPunta
689013.0,9625.6246,1130,1645,906,1173919.5,79,75,1097903.5748,PinzasMecanico
330284.0,4752.824,1126,1308,814,477864.0,44,40,448684.3956,Cutter
520539.0,5859.2505,741,1558,782,770027.0,46,43,1128255.4219,Tijeras
1220498.0,7701.2891,2658,1229,1342,2324795.75,36,29,1336309.7957,Nivelador
1016055.5,4261.8404,1442,1355,727,1831634.5,92,87,1074340.4251,Espatula
616192.5,10353.2785,1247,1765,976,971238.75,50,45,1376917.2261,PinzasPunta
442659.0,6935.0334,1262,1911,1104,645805.0,52,48,767672.633,Desarmador
329364.0,4748.0259,679,1514,806,498024.0,45,41,443674.6785,Cutter
496050.5,7715.6721,1593,1352,948,869506.0,65,61,1216457.0709,PinzasPunta
558989.5,11906.2187,1729,914,898,1213055.125,89,85,1075029.7818,PinzasMecanico
937330.5,4129.452,864,1247,700,1679881.75,94,89,1003056.4944,Espatula
532017.5,5453.6798,766,1598,802,824028.875,60,56,1197191.8526,Tijeras
333450.0,4629.364,1597,486,806,474830.0,44,41,450558.6097,Cutter
418910.5,10962.905,1507,1264,897,1038427.5,86,81,987693.428,PinzasMecanico
477927.0,5185.3173,1581,720,795,765342.0,75,70,1113784.3836,Tijeras
955984.5,4305.1719,1341,967,708,1706448.75,95,88,1015111.6137,Espatula
469212.5,12614.6636,1433,1372,909,1051675.0,73,71,1033834.5317,PinzasMecanico
1279790.0,8053.9266,2650,1079,1329,2380636.875,54,46,1361739.2184,Nivelador
430686.5,11158.7587,1706,835,878,1054643.75,70,67,970199.0484,PinzasMecanico
1014858.0,8066.268,2021,1346,1011,1992059.5,104,96,2376218.2839,Martillo
545582.5,8084.9716,1075,1794,957,917992.0,75,68,1257099.1487,PinzasPunta
1041023.5,8488.8253,1324,1983,1042,2091485.5,102,97,2485800.9512,Martillo
1083430.5,8169.8874,1878,1701,1039,2163990.25,104,97,2545662.1661,Martillo
1172463.0,6575.2808,1130,2636,1325,2252700.0,35,29,1222382.9183,Nivelador
497731.5,6726.9144,2093,744,1068,692390.75,64,58,864828.9918,Desarmador
1191825.5,6909.932,2499,1720,1339,2325741.0,38,31,1242315.3786,Nivelador
508077.0,6594.9136,989,1483,805,815123.875,49,47,1181459.5331,Tijeras
446808.0,5590.9233,2179,397,1094,640898.75,70,68,756522.4392,Desarmador
487399.5,12434.4643,566,1810,908,1060976.0,77,73,1021071.3742,PinzasMecanico
515481.0,8044.9644,414,2201,1102,754871.75,62,59,875713.4088,Desarmador
499024.0,5576.6474,1365,1135,797,757411.5,77,72,1100122.9089,Tijeras
1268614.5,7401.1012,2714,1130,1366,2449231.5,35,27,1344079.4836,Nivelador
541368.5,9115.1869,449,2244,1128,758689.5,33,27,1001697.9338,Desarmador
1089648.5,8440.7402,1925,1635,1033,2086993.125,110,104,2443449.9486,Martillo
1245022.5,6529.0441,2657,904,1334,2285262.0,57,49,1293675.3743,Nivelador
934016.0,4356.7997,1409,1219,704,1676496.375,89,82,993795.3642,Espatula
517131.5,7184.8354,1852,961,964,913771.1875,70,65,1272183.8338,PinzasPunta
464866.0,7344.4791,1952,1160,1092,681454.25,61,56,784234.5983,Desarmador
1157977.0,6335.1048,2302,1949,1314,2238696.5,42,36,1195852.6752,Nivelador
502801.5,6987.3492,1624,1371,960,898373.375,62,56,1262982.38,PinzasPunta
979456.0,8255.0376,1774,1596,1008,2013080.0,90,84,2345096.1283,Martillo
542613.0,4690.4523,1556,736,787,771715.75,73,68,1126396.2882,Tijeras
349689.5,4811.0869,1542,755,813,499366.5,52,49,474646.4361,Cutter
1047385.0,8543.0477,1245,2027,1031,2122763.25,104,97,2505174.7318,Martillo
1172316.0,6277.1707,511,2626,1326,2253016.0,38,35,1221489.7122,Nivelador
528377.0,5476.7408,1359,1253,821,839178.5,55,49,1224534.8987,Tijeras
551923.5,8842.0052,880,1826,945,912377.125,50,47,1248427.9454,PinzasPunta
494115.0,7524.7878,1575,1746,1127,703754.25,47,42,875575.4193,Desarmador
1191103.0,8226.4447,1413,2596,1332,2291196.75,34,26,1265342.1246,Nivelador
614750.5,11949.4046,1543,1292,912,1108895.625,68,65,1103805.7358,PinzasMecanico
1080712.5,8690.1128,1740,1744,1023,2066817.75,95,92,2465744.1187,Martillo
425242.0,11394.569,880,1737,911,1042770.25,71,67,1062761.6518,PinzasMecanico
584994.0,8164.8425,1792,570,896,1123317.75,94,88,1009720.8819,PinzasMecanico
531555.5,5099.0869,716,1584,797,769464.25,68,62,1111836.4964,Tijeras
615704.0,10345.6288,1294,1728,973,953741.0,45,42,1362223.7318,PinzasPunta
1092104.5,8378.3971,1588,1940,1028,2046544.75,99,95,2415220.2381,Martillo
544393.0,8310.6701,1096,1789,958,904338.5,61,55,1268428.5525,PinzasPunta
1274047.0,6503.6278,807,2658,1331,2400443.0,53,48,1306555.0622,Nivelador
1002938.0,4125.7981,1273,846,722,1796236.0,80,74,1067224.2676,Espatula
507373.5,7779.1583,2166,662,1109,710700.0,55,50,911369.2116,Desarmador
1262287.5,6832.5326,2694,1254,1364,2479390.125,37,30,1305445.7794,Nivelador
575838.5,5028.293,1611,756,819,825037.0,70,65,1202471.1129,Tijeras
1188774.5,6641.205,2554,1558,1332,2279821.0,39,34,1236133.6885,Nivelador
367029.0,6065.7964,310,2208,1103,564098.75,64,60,676619.3492,Desarmador
492789.0,6671.6406,1621,1668,1101,686736.875,59,54,837888.5893,Desarmador
532751.0,8316.3614,1825,983,959,891075.5,58,54,1257798.7648,PinzasPunta
993116.0,4449.9165,1416,1345,717,1798274.0,90,84,1038671.8465,Espatula
486869.0,7794.4203,1337,1896,1110,712824.0,54,48,913686.1774,Desarmador
382988.5,11851.6317,577,1794,903,1015750.0,89,84,1021340.7559,PinzasMecanico
1161296.5,6745.4527,2551,1498,1323,2257952.0,33,25,1229732.6177,Nivelador
1006055.5,9282.0599,1921,1329,1010,2021847.5,92,88,2425253.1006,Martillo
524784.5,7697.8202,1025,1838,964,904723.75,59,53,1291574.413,PinzasPunta
1299963.5,6694.2198,1066,2696,1356,2391849.0,61,54,1341320.8529,Nivelador
291190.5,4056.965,891,1354,782,427329.25,45,40,380763.515,Cutter
523742.0,8156.7289,2161,709,1104,740640.0,57,52,926377.8393,Desarmador
598906.5,5147.7143,1658,753,835,855387.375,80,78,1243602.9517,Tijeras
519836.0,5826.7551,1320,1197,794,776139.375,52,45,1119018.2574,Tijeras
330981.5,4535.7,788,1455,799,508610.25,45,40,442608.9881,Cutter
963646.0,4320.6774,836,1256,715,1706921.25,87,81,1037141.9926,Espatula
503779.0,6143.4313,1561,784,800,793597.25,77,72,1155347.198,Tijeras
337937.5,4508.2564,562,1549,790,493360.0,38,36,457495.7741,Cutter
510949.5,6933.7655,1716,1517,1084,718426.625,62,58,886996.9018,Desarmador
1191443.5,6372.0968,2138,2222,1339,2309899.625,32,26,1232883.2241,Nivelador
1046780.5,8022.9371,1673,1770,1015,2036289.0,98,93,2369799.1618,Martillo
484221.0,6614.7328,746,1583,795,787973.0,71,69,1160741.2211,Tijeras
455827.5,12397.9933,1695,908,891,1045484.125,74,70,1008519.753,PinzasMecanico
457800.0,7874.3757,1856,1406,1117,674066.5,52,48,826919.4509,Desarmador
1000698.5,4278.2989,1370,1118,725,1773433.5,89,82,1077426.9678,Espatula
526180.5,7604.8496,1757,1043,933,873466.375,64,60,1237575.2783,PinzasPunta
909439.0,4317.0247,915,1270,684,1616445.0,75,70,981038.6297,Espatula
1224328.0,8324.6035,2323,2048,1348,2311534.9688,37,31,1331956.8421,Nivelador
