@relation herramientas
@attribute 'areaContorno' numeric
@attribute 'perimetroContorno' numeric
@attribute 'anchoRectangulo' numeric
@attribute 'largoRectangulo' numeric
@attribute 'radioCirculo' numeric
@attribute 'areaTriangulo' numeric
@attribute 'lenHull' numeric
@attribute 'lenDefects' numeric
@attribute 'areaRotated' numeric
@attribute 'class' { Martillo, Cutter, PinzasPunta, Nivelador, Desarmador, Espatula, Tijeras, PinzasMecanico }
@data
288575.5,4075.2879,1293,1014,779,404129.9062,43,37,392947.6579,Cutter
934047.0,4533.0857,1008,1342,702,1662277.25,89,83,1006829.3835,Espatula
1079494.5,8295.9136,1328,1942,1025,2047975.25,89,85,2442423.7753,Martillo
1009872.5,7664.7277,1309,1938,1014,2024174.75,99,93,2365298.9328,Martillo
476926.0,6315.2849,510,2186,1105,681337.0,50,45,829634.632,Desarmador
1284183.0,6392.9596,2627,571,1326,2415986.0469,55,48,1321883.6059,Nivelador
1020895.0,8310.0141,1964,1262,1024,2040854.75,110,105,2391377.556,Martillo
983580.0,9021.2975,1917,1307,1000,1974953.5,97,92,2323254.042,Martillo
356259.0,5061.4595,1629,411,816,511224.0,47,45,490187.564,Cutter
459742.0,7055.7827,1763,1467,1090,665422.0,56,51,823400.2934,Desarmador
565419.5,9205.8773,1113,1772,951,899632.25,43,38,1283007.151,PinzasPunta
334460.0,4815.9326,1562,623,803,484489.0,47,43,454101.3161,Cutter
965767.0,4319.8535,1295,1386,704,1731060.5938,91,86,1026677.7814,Espatula
1005951.5,7739.4973,1245,1840,951,1902285.5,86,80,2108390.8489,Martillo
1061031.5,8385.7554,1706,1790,1037,2076322.75,108,102,2462671.2026,Martillo
572149.5,9851.6662,1048,1827,965,922251.5,53,47,1325428.1943,PinzasPunta
469899.0,7377.9594,1664,1618,1107,686921.25,68,61,825959.4857,Desarmador
994990.5,8535.9421,1251,2021,1014,2015232.75,93,86,2357199.0441,Martillo
1021756.5,8343.6377,1730,1708,1010,1979788.5,105,97,2372229.5234,Martillo
538174.0,4827.5793,1335,1140,790,762784.9062,72,68,1091352.0962,Tijeras
1160832.5,6545.916,2017,2257,1318,2238037.0,37,30,1201139.3665,Nivelador
1186335.0,6310.908,2110,2232,1333,2288607.75,37,32,1230868.0296,Nivelador
407674.5,12480.4643,576,1820,910,1081479.25,92,87,1043850.7836,PinzasMecanico
519021.0,8550.1646,1203,1672,938,875660.5,68,62,1206837.596,PinzasPunta
992342.5,4409.081,1398,1347,719,1765139.5,80,74,1066395.2524,Espatula
427333.5,11357.8411,1108,1617,904,1052898.25,81,76,1010220.4838,PinzasMecanico
539541.0,8310.5725,1910,664,965,913004.0,50,44,1265667.0,PinzasPunta
1166530.5,6307.8592,2260,2047,1325,2253209.0,37,31,1211407.3653,Nivelador
560505.0,8347.9838,1783,1132,961,931473.75,69,63,1302183.9445,PinzasPunta
487297.5,6403.7143,2153,397,1077,684772.9375,68,65,829510.4899,Desarmador
1249283.5,6584.4839,1168,2609,1316,2342340.75,52,44,1283838.7639,Nivelador
1186184.5,7329.5008,2637,470,1332,2318995.0,33,28,1225688.7623,Nivelador
1066540.5,9062.7706,1916,1362,1028,2060778.0,103,97,2421873.4744,Martillo
430918.5,5510.7539,2087,666,1073,616289.875,67,63,739055.1499,Desarmador
698759.0,10070.5018,1098,1640,904,1209265.0625,63,60,1093898.3813,PinzasMecanico
340116.0,4675.4961,915,1469,814,498234.875,45,40,453661.7128,Cutter
1220529.0,7675.8005,2657,537,1339,2339223.0,32,28,1291204.5979,Nivelador
942877.5,4685.4586,1280,1365,696,1694887.0,84,80,1003887.3054,Espatula
304405.0,3899.634,793,1456,780,424394.0,47,43,405341.6987,Cutter
469482.0,7129.1125,2212,367,1106,676156.75,66,61,785906.177,Desarmador
572403.0,9117.4051,702,1918,964,913608.0,51,47,1322313.8661,PinzasPunta
953413.5,4444.4981,1255,1393,698,1677117.0,81,73,1035385.2937,Espatula
1097717.0,8339.9636,2002,1499,1022,2097920.875,100,94,2509771.6895,Martillo
942299.5,4100.0306,1241,811,702,1683558.5,88,82,1003028.8633,Espatula
553182.5,8495.9421,989,1825,954,892440.5,53,47,1287103.9535,PinzasPunta
938772.5,4163.9296,1380,1258,697,1685506.8125,91,85,991888.4285,Espatula
1187449.5,6664.9388,1373,2612,1335,2279482.5,36,31,1239763.065,Nivelador
297372.5,4387.7833,812,1432,793,415489.5,46,42,403876.2495,Cutter
1288276.0,6803.9183,1044,2683,1352,2359487.375,49,41,1353546.7991,Nivelador
481143.0,7887.9451,404,2195,1097,694138.5,47,44,875292.5625,Desarmador
1203283.5,6357.4621,515,2641,1334,2273336.125,33,28,1252741.4661,Nivelador
1214793.5,7825.4401,719,2655,1329,2306286.5,43,37,1276979.6978,Nivelador
607418.5,10335.3475,711,1915,963,931798.0,48,46,1350045.5484,PinzasPunta
474001.0,7392.7248,837,2080,1081,696401.5,56,54,832466.1863,Desarmador
